,state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,person,Male,Female,growthinpopulation,rural,urban,STPop,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,religion3name,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
47,chhattisgarh,raigarh,2001.0,50,24,53,0,53,6,6,0,2,104,5,22,0,1265529,634597,630932,18.68,1096073,994.0,447703,70.16,82.7,57.62,601564,430725,170839,663965,1.Hindus,1212180,2.Christians,36098,3.Muslims,12637,1433.0,1410.0,1385.0,1350.0,279
48,chhattisgarh,raipur,2001.0,92,102,104,0,104,38,28,10,16,253,42,121,0,3016930,1523925,1493005,18.97,2099312,980.0,365273,68.51,81.97,54.81,1264663,961507,303156,1752267,1.Hindus,2881933,2.Muslims,77963,3.Christians,16857,2124.0,2101.0,1955.0,1987.0,696
49,chhattisgarh,rajnandgaon,2001.0,36,27,58,0,58,4,3,1,3,92,12,51,0,1283224,634342,648882,17.7,1051577,1023.0,341688,77.21,87.17,67.55,649401,558996,90405,633823,1.Hindus,1215492,2.Buddhists,28020,3.Muslims,21035,1605.0,1595.0,1550.0,1484.0,343
50,gujarat,amreli,2001.0,41,11,2,0,2,39,34,5,2,21,0,94,0,1393918,701593,692325,6.45,1080960,987.0,3256,66.09,76.44,55.78,600819,470043,130776,793099,1.Hindus,1307460,2.Muslims,83077,3.Jains,2309,615.0,614.0,615.0,614.0,383
51,gujarat,anand,2001.0,28,16,3,0,3,30,28,2,0,27,3,210,0,1856872,972000,884872,13.03,1348901,910.0,22835,74.51,86.09,61.94,784711,617669,167042,1072161,1.Hindus,1616127,2.Muslims,199263,3.Christians,29461,350.0,350.0,350.0,350.0,301
52,gujarat,bharuch,2001.0,37,14,4,0,4,39,34,5,0,19,0,56,0,1370656,713676,656980,19.32,1018096,921.0,444043,74.41,82.98,65.11,570693,469551,101142,799963,1.Hindus,1059796,2.Muslims,293459,3.Christians,8824,657.0,657.0,656.0,644.0,403
53,gujarat,bhavnagar,2001.0,64,28,9,0,9,60,51,9,2,36,7,129,0,2469630,1274920,1194710,19.29,1534592,937.0,7298,66.2,78.02,53.73,944559,781166,163393,1525071,1.Hindus,2264062,2.Muslims,172740,3.Jains,28921,790.0,790.0,789.0,786.0,526
54,gujarat,gandhinagar,2001.0,25,11,4,0,4,15,12,3,3,37,7,116,0,1334455,697999,636456,23.88,867195,912.0,17681,76.59,87.74,64.58,554336,467413,86923,780119,1.Hindus,1269766,2.Muslims,50559,3.Jains,7769,291.0,291.0,291.0,290.0,244
55,gujarat,jamnagar,2001.0,48,27,20,0,20,27,22,5,2,18,2,163,0,1904278,981320,922958,22.39,1068022,941.0,10459,66.48,76.25,56.18,734382,624057,110325,1169896,1.Hindus,1605941,2.Muslims,270223,3.Jains,21907,698.0,695.0,666.0,666.0,286
56,gujarat,junagadh,2001.0,56,37,14,0,14,46,39,7,11,44,8,384,0,2448173,1252350,1195823,17.08,1736645,955.0,18832,67.78,78.74,56.43,1000842,785530,215312,1447331,1.Hindus,2165734,2.Muslims,274481,3.Jains,4291,923.0,922.0,901.0,858.0,803
