YEAR,person,Male,Female,growthinpopulation,urban,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,religion1 population,Religion2 Population,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,state,District,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,rural,Religion1,Religion2,religion3name,Medical facility
2001.0,1515148,787650,727498,25.34,924.0,61.61,74.19,48.1,647609,512038,135571,867539,1392451,97846,22721,650.0,649.0,650.0,648.0,gujarat,surendranagar,38.0,17,11,0.0,11.0,29,24,5,2,45,3,75,0,1112700.0,1.Hindus,2.Muslims,3.Jains,170.0
2001.0,1410553,734799,675754,29.66,920.0,69.15,77.9,59.62,650257,503333,146924,760296,1300005,66440,15399,450.0,450.0,425.0,449.0,gujarat,valsad,44.0,8,9,0.0,9.0,16,11,5,0,10,0,50,0,1029392.0,1.Hindus,2.Muslims,3.Christians,303.0
2001.0,1014411,542977,471434,25.69,868.0,75.31,82.31,67.39,324521,275648,48873,689890,856193,132463,17263,482.0,482.0,479.0,432.0,haryana,ambala,26.0,23,11,0.0,11.0,38,32,6,11,27,0,132,0,657383.0,1.Hindus,2.Sikhs,3.Muslims,204.0
2001.0,1425022,758253,666769,22.45,879.0,67.45,80.26,53.0,609320,425210,184110,815702,1407363,12740,2542,437.0,437.0,437.0,429.0,haryana,bhiwani,40.0,20,10,0.0,10.0,9,7,2,33,17,0,43,0,1154629.0,1.Hindus,2.Muslims,3.Sikhs,252.0
2001.0,2194586,1193063,1001523,48.47,839.0,70.03,81.52,56.31,785762,609663,176099,1408824,1896698,247293,36005,413.0,413.0,413.0,376.0,haryana,faridabad,68.0,38,37,0.0,37.0,78,53,25,19,47,242,108,0,973242.0,1.Hindus,2.Muslims,3.Sikhs,188.0
2001.0,1660289,886451,773838,44.64,873.0,62.91,76.17,47.78,629658,464644,165014,1030631,1026542,617918,6672,694.0,694.0,693.0,642.0,haryana,gurgaon,69.0,30,32,0.0,32.0,50,32,18,17,21,21,136,0,1291285.0,1.Hindus,2.Muslims,3.Sikhs,203.0
2001.0,1189827,642282,547545,21.35,852.0,62.12,73.82,48.51,521946,372049,149897,667881,1134539,29159,20618,306.0,306.0,306.0,300.0,haryana,jind,37.0,21,21,0.0,21.0,12,8,4,11,22,29,67,0,948250.0,1.Hindus,2.Sikhs,3.Muslims,247.0
2001.0,946131,510513,435618,20.95,853.0,59.02,69.15,47.31,372011,268127,103884,574120,848765,88700,6777,270.0,270.0,270.0,261.0,haryana,kaithal,33.0,15,16,0.0,16.0,9,8,1,9,19,0,105,0,762649.0,1.Hindus,2.Sikhs,3.Muslims,160.0
2001.0,1274183,683368,590815,23.13,865.0,67.74,76.29,57.97,455455,355466,99989,818728,1125279,123160,22614,422.0,422.0,422.0,385.0,haryana,karnal,42.0,24,44,0.0,44.0,31,10,21,18,28,2,97,0,936341.0,1.Hindus,2.Sikhs,3.Muslims,186.0
2001.0,825454,442328,383126,23.72,866.0,69.88,78.06,60.61,308392,250596,57796,517062,675381,135545,12028,407.0,402.0,406.0,385.0,haryana,kurukshetra,20.0,8,31,0.0,31.0,14,14,0,10,28,8,68,0,609943.0,1.Hindus,2.Sikhs,3.Muslims,179.0
2001.0,812521,423578,388943,19.09,918.0,69.89,84.72,54.08,351864,204704,147160,460657,805991,3434,2026,368.0,368.0,368.0,350.0,haryana,mahendragarh,26.0,10,11,0.0,11.0,13,8,5,8,19,0,23,0,702885.0,1.Hindus,2.Muslims,3.Sikhs,190.0
2001.0,967449,528860,438589,38.57,829.0,69.17,78.5,57.97,382801,289013,93788,584648,873593,59696,27437,179.0,179.0,179.0,168.0,haryana,panipat,43.0,26,38,0.0,38.0,19,10,9,11,16,11,92,0,575369.0,1.Hindus,2.Muslims,3.Sikhs,116.0
2001.0,765351,403034,362317,25.24,899.0,75.25,88.45,60.83,333622,204855,128767,431729,758328,3194,1668,397.0,397.0,397.0,379.0,haryana,rewari,21.0,13,11,0.0,11.0,13,11,2,12,17,0,14,0,629177.0,1.Hindus,2.Muslims,3.Sikhs,175.0
2001.0,940128,509038,431090,20.99,847.0,73.72,83.23,62.59,371073,288225,82848,569055,924541,5665,5079,146.0,146.0,146.0,130.0,haryana,rohtak,57.0,29,28,0.0,28.0,13,6,7,17,26,20,41,0,610524.0,1.Hindus,2.Muslims,3.Sikhs,118.0
2001.0,1116649,593245,523404,22.96,882.0,60.55,70.05,49.93,475571,363946,111625,641078,801747,302942,7056,321.0,321.0,318.0,312.0,haryana,sirsa,37.0,33,17,0.0,17.0,18,7,11,12,23,0,98,0,823184.0,1.Hindus,2.Sikhs,3.Muslims,197.0
2001.0,1279175,695723,583452,22.36,839.0,72.79,83.06,60.68,523031,383449,139582,756144,1234225,31954,6729,323.0,323.0,323.0,316.0,haryana,sonipat,73.0,49,15,0.0,15.0,26,12,14,18,22,14,51,0,957800.0,1.Hindus,2.Muslims,3.Jains,248.0
2001.0,1041630,559444,482186,21.84,862.0,71.63,78.82,63.39,336533,280728,55805,705097,849255,104073,83524,613.0,613.0,607.0,483.0,haryana,yamunanagar,42.0,14,22,0.0,22.0,26,23,3,9,30,5,63,0,648608.0,1.Hindus,2.Muslims,3.Sikhs,248.0
2001.0,1165390,608878,556512,24.46,914.0,50.09,66.38,31.99,432714,283711,149003,732676,910409,221705,27263,2356.0,2356.0,289.0,768.0,jharkhand,deoghar,47.0,82,22,0.0,22.0,7,0,7,10,13,1,10,0,1005539.0,1.Hindus,2.Muslims,3.Others,94.0
2001.0,2397102,1278946,1118156,22.82,874.0,67.0,79.54,52.43,664058,492501,171557,1733044,1944757,364807,61505,1121.0,1121.0,503.0,708.0,jharkhand,dhanbad,97.0,31,32,0.0,32.0,57,45,12,30,47,0,18,0,1141744.0,1.Hindus,2.Muslims,3.Others,154.0
2001.0,1759602,897364,862238,17.31,961.0,47.94,62.86,32.35,778378,470354,308024,981224,1323468,203741,170201,3737.0,3737.0,213.0,1732.0,jharkhand,dumka,63.0,32,27,0.0,27.0,24,0,24,3,20,0,23,0,1644690.0,1.Hindus,2.Muslims,3.Others,312.0
2001.0,1904430,960679,943751,27.09,982.0,44.5,62.09,26.62,644644,340925,303719,1259786,1475201,383253,30778,2532.0,2532.0,481.0,1232.0,jharkhand,giridih,63.0,65,42,0.0,42.0,15,10,5,30,13,0,57,0,1782066.0,1.Hindus,2.Muslims,3.Others,229.0
2001.0,1047939,544043,503896,21.61,926.0,43.13,57.52,27.39,421941,238694,183247,625998,745237,210734,68055,1633.0,1633.0,257.0,892.0,jharkhand,godda,61.0,0,37,0.0,37.0,30,26,4,1,0,0,0,0,1010931.0,1.Hindus,2.Muslims,3.Others,141.0
2001.0,1346767,675769,670998,16.6,993.0,51.74,63.5,39.95,658921,446953,211968,687846,440373,425107,419004,1393.0,1393.0,92.0,1015.0,jharkhand,gumla,136.0,18,29,0.0,29.0,16,11,5,0,2,0,10,1,1273025.0,1.Hindus,2.Christians,3.Others,365.0
